SFE_1,SFE_2,int_type,freq_1,freq_2,n_1,n_2,overlap_ratio,direction,FDR* < 0.1,EIS (ASC corrected score),n_tumor_types_testable,n_tumor_types_significant,interaction_specificity,tumor_types_significant
AMP.19.30307380.30308526,DEL.9.21186568.28981526,CNA_AMP CNA_DEL,0.05,0.12,271,728,0.09,ME,TRUE,0.98,7,6,multiple_tumor_types,"acc,blca,brca,esca,ov,stad"
RB1,AMP.11.69476266.70165505,MUTATION CNA_AMP,0.03,0.08,173,465,0.02,ME,TRUE,0.96,12,11,multiple_tumor_types,"blca,brca,cesc,hnsc,lihc,luad,lusc,ov,skcm,stad,ucec"
APC,TCF7L2,MUTATION MUTATION,0.07,0.01,449,44,0.74,CO,TRUE,0.95,1,1,tumor_type_specific,crc
NF1,POLE,MUTATION MUTATION,0.03,0.01,189,47,0.54,CO,TRUE,0.93,3,2,multiple_tumor_types,"crc,stad"
AMP.1.16424099.16424099,AMP.12.51588626.51735022,CNA_AMP CNA_AMP,0.01,0.01,45,34,0.35,CO,TRUE,0.92,0,0,not_detectable,
KRAS,NRAS,MUTATION MUTATION,0.07,0.03,406,190,0.08,ME,TRUE,0.90,4,3,multiple_tumor_types,"aml,crc,skcm"
CCND1,RPL22,MUTATION MUTATION,0.00,0.01,18,58,0.43,CO,FALSE,0.87,1,0,not_detectable,
DEL.9.21186568.28981526,DEL.13.48876592.49059721,CNA_DEL CNA_DEL,0.12,0.03,728,166,0.10,ME,TRUE,0.85,7,6,multiple_tumor_types,"blca,brca,gbm,lihc,luad,ov"
DEL.1.245911962.247047609,DEL.6.26220523.26227104,CNA_DEL CNA_DEL,0.00,0.00,14,9,0.60,CO,FALSE,0.85,0,0,not_detectable,
BCL9L,HNF1A,MUTATION MUTATION,0.01,0.00,42,26,0.50,CO,FALSE,0.84,2,1,tumor_type_specific,crc
APC,RNF43,MUTATION MUTATION,0.07,0.02,449,103,0.18,ME,TRUE,0.80,3,2,multiple_tumor_types,"crc,stad"
KRAS,NF1,MUTATION MUTATION,0.07,0.03,406,189,0.07,ME,TRUE,0.78,8,5,multiple_tumor_types,"blca,brca,luad,stad,ucec"
BAP1,VHL,MUTATION MUTATION,0.01,0.03,70,178,0.44,CO,FALSE,0.78,1,0,not_detectable,
CDH1,TP53,MUTATION MUTATION,0.02,0.37,143,2245,0.09,ME,TRUE,0.77,3,1,tumor_type_specific,brca
POLE,PPM1D,MUTATION MUTATION,0.01,0.00,47,27,0.57,CO,TRUE,0.75,2,0,not_detectable,
BMPR2,NCOR2,MUTATION MUTATION,0.01,0.01,39,81,0.38,CO,FALSE,0.75,2,1,tumor_type_specific,stad
AMP.16.29109938.30914723,DEL.8.2792739.4852925,CNA_AMP CNA_DEL,0.02,0.05,101,302,0.00,ME,TRUE,0.75,5,5,multiple_tumor_types,"blca,brca,crc,esca,ov"
BMPR2,ZC3H18,MUTATION MUTATION,0.01,0.01,39,49,0.37,CO,FALSE,0.74,2,1,tumor_type_specific,stad
NRAS,PPP6C,MUTATION MUTATION,0.03,0.00,190,24,0.48,CO,FALSE,0.73,1,1,tumor_type_specific,skcm
AMP.8.55224770.55228081,AMP.X.23815873.23981176,CNA_AMP CNA_AMP,0.03,0.01,190,65,0.00,ME,TRUE,0.73,4,4,multiple_tumor_types,"blca,brca,ov,stad"
BRAF,AMP.12.69233458.69237735,MUTATION CNA_AMP,0.09,0.03,519,181,0.04,ME,TRUE,0.72,4,4,multiple_tumor_types,"gbm,luad,skcm,stad"
DEL.2.111874276.111907648,DEL.3.174575228.175759770,CNA_DEL CNA_DEL,0.00,0.00,7,9,0.67,CO,FALSE,0.71,0,0,not_detectable,
AMP.12.915322.916021,DEL.16.78129906.89379319,CNA_AMP CNA_DEL,0.02,0.03,146,162,0.00,ME,FALSE,0.71,5,5,multiple_tumor_types,"brca,crc,esca,ov,stad"
AMP.11.77628291.77628291,DEL.16.78129906.89379319,CNA_AMP CNA_DEL,0.04,0.03,214,162,0.01,ME,FALSE,0.71,4,4,multiple_tumor_types,"brca,esca,ov,stad"
AMP.2.114056985.114056985,AMP.11.102308753.102308753,CNA_AMP CNA_AMP,0.01,0.02,52,126,0.33,CO,TRUE,0.71,3,2,multiple_tumor_types,"ov,ucec"
NPM1,RUNX1,MUTATION MUTATION,0.01,0.01,51,53,0.00,ME,FALSE,0.70,1,1,tumor_type_specific,aml
AMP.1.204466860.204467676,AMP.8.37525891.38197404,CNA_AMP CNA_AMP,0.04,0.05,235,296,0.06,ME,TRUE,0.70,5,3,multiple_tumor_types,"brca,luad,ucec"
CD58,XRN1,MUTATION MUTATION,0.00,0.01,21,29,0.42,CO,TRUE,0.70,2,1,tumor_type_specific,crc
AMP.7.919139.919139,AMP.11.66999677.66999677,CNA_AMP CNA_AMP,0.02,0.03,102,193,0.01,ME,TRUE,0.69,6,5,multiple_tumor_types,"blca,brca,ov,skcm,stad"
ITGAL,NF1,MUTATION MUTATION,0.01,0.03,31,189,0.41,CO,TRUE,0.69,3,2,multiple_tumor_types,"skcm,stad"
CD58,VPS37B,MUTATION MUTATION,0.00,0.00,21,13,0.44,CO,FALSE,0.68,1,1,tumor_type_specific,crc
AMP.10.5611426.5611426,AMP.14.20524352.20524352,CNA_AMP CNA_AMP,0.02,0.01,122,57,0.00,ME,FALSE,0.67,5,5,multiple_tumor_types,"blca,brca,esca,lgg,ov"
DEL.2.686938.14783087,DEL.5.180322794.180360469,CNA_DEL CNA_DEL,0.00,0.00,15,16,0.50,CO,TRUE,0.67,0,0,not_detectable,
AMP.6.64298164.64298164,AMP.19.58724943.58724943,CNA_AMP CNA_AMP,0.01,0.01,86,84,0.00,ME,FALSE,0.67,6,6,multiple_tumor_types,"blca,brca,esca,lusc,ov,stad"
FAT1,NOTCH1,MUTATION MUTATION,0.02,0.01,146,76,0.30,CO,FALSE,0.67,2,1,tumor_type_specific,hnsc
DEL.8.26150061.47460945,DEL.10.89621061.89730647,CNA_DEL CNA_DEL,0.04,0.04,233,237,0.06,ME,TRUE,0.67,9,7,multiple_tumor_types,"brca,esca,lihc,lusc,ov,stad,ucec"
AMP.1.6454459.6456472,AMP.3.50187790.50281168,CNA_AMP CNA_AMP,0.01,0.00,46,16,0.42,CO,FALSE,0.67,0,0,not_detectable,
DEL.10.64926226.65226688,DEL.14.45426712.45672862,CNA_DEL CNA_DEL,0.01,0.00,31,18,0.42,CO,FALSE,0.66,1,1,tumor_type_specific,stad
EGFR,KRAS,MUTATION MUTATION,0.02,0.07,95,406,0.02,ME,TRUE,0.66,1,1,tumor_type_specific,luad
DEL.6.161763312.163152563,DEL.12.122652263.123012977,CNA_DEL CNA_DEL,0.01,0.00,69,16,0.43,CO,FALSE,0.65,0,0,not_detectable,
DEL.4.114373660.119633824,DEL.5.93485416.93956937,CNA_DEL CNA_DEL,0.00,0.01,17,47,0.36,CO,FALSE,0.65,2,2,multiple_tumor_types,"ov,prad"
AKT1,GATA3,MUTATION MUTATION,0.01,0.02,40,134,0.27,CO,FALSE,0.64,1,1,tumor_type_specific,brca
DNMT3A,TET2,MUTATION MUTATION,0.01,0.01,63,42,0.29,CO,FALSE,0.63,1,0,not_detectable,
APC,CTNNB1,MUTATION MUTATION,0.07,0.03,449,188,0.10,ME,TRUE,0.63,6,4,multiple_tumor_types,"blca,crc,skcm,stad"
KRAS,AMP.8.37525891.38197404,MUTATION CNA_AMP,0.07,0.05,406,296,0.06,ME,TRUE,0.63,7,7,multiple_tumor_types,"blca,brca,crc,luad,ov,stad,ucec"
AMP.20.10347923.11331214,AMP.X.107519525.107540080,CNA_AMP CNA_AMP,0.01,0.01,41,34,0.35,CO,TRUE,0.63,1,1,tumor_type_specific,ov
KDM6A,STAG2,MUTATION MUTATION,0.02,0.01,100,79,0.28,CO,TRUE,0.63,3,1,tumor_type_specific,blca
PIK3CA,TP53,MUTATION MUTATION,0.14,0.37,857,2245,0.46,ME,TRUE,0.62,14,3,multiple_tumor_types,"crc,hnsc,kirc"
AMP.4.55042340.55045488,AMP.19.10562152.10562152,CNA_AMP CNA_AMP,0.02,0.02,114,125,0.00,ME,FALSE,0.62,4,4,multiple_tumor_types,"brca,esca,lgg,ov"
AMER1,SOX9,MUTATION MUTATION,0.01,0.01,60,48,0.21,CO,FALSE,0.62,1,1,tumor_type_specific,crc
AMP.1.10876600.10923563,AMP.12.111904876.115143287,CNA_AMP CNA_AMP,0.01,0.01,45,41,0.29,CO,TRUE,0.62,1,1,tumor_type_specific,ov
SYCP1,ZC3H13,MUTATION MUTATION,0.01,0.01,54,78,0.41,CO,FALSE,0.61,4,1,tumor_type_specific,ucec
TP53,AMP.19.30307380.30308526,MUTATION CNA_AMP,0.37,0.05,2245,271,0.78,CO,TRUE,0.61,9,3,multiple_tumor_types,"blca,brca,stad"
DEL.3.194402430.197029426,DEL.21.42835494.42881850,CNA_DEL CNA_DEL,0.01,0.01,29,43,0.37,CO,FALSE,0.61,1,1,tumor_type_specific,prad
AMP.3.52516731.52516731,AMP.17.73587414.80008392,CNA_AMP CNA_AMP,0.00,0.04,18,232,0.56,CO,TRUE,0.61,1,1,tumor_type_specific,ov
AMP.7.92240982.92241005,AMP.18.365815.1070920,CNA_AMP CNA_AMP,0.02,0.01,139,82,0.00,ME,TRUE,0.60,6,6,multiple_tumor_types,"brca,esca,hnsc,luad,lusc,ov"
AMP.7.73849586.75591429,AMP.9.140086045.140086045,CNA_AMP CNA_AMP,0.02,0.02,101,88,0.24,CO,TRUE,0.60,6,3,multiple_tumor_types,"esca,ov,ucec"
NPM1,TP53,MUTATION MUTATION,0.01,0.37,51,2245,0.00,ME,FALSE,0.60,1,1,tumor_type_specific,aml
KDM6A,AMP.18.20411221.20420409,MUTATION CNA_AMP,0.02,0.02,100,138,0.00,ME,FALSE,0.59,5,5,multiple_tumor_types,"blca,brca,hnsc,lusc,stad"
PTEN,AMP.8.81202107.81202107,MUTATION CNA_AMP,0.06,0.04,362,243,0.02,ME,FALSE,0.59,9,8,multiple_tumor_types,"blca,brca,lihc,prad,skcm,stad,ucec,ucs"
AMP.1.23483603.23582880,AMP.12.51588626.51735022,CNA_AMP CNA_AMP,0.00,0.01,25,34,0.31,CO,TRUE,0.59,0,0,not_detectable,
AMP.17.73587414.80008392,DEL.18.48556326.48616656,CNA_AMP CNA_DEL,0.04,0.02,232,95,0.00,ME,FALSE,0.59,6,6,multiple_tumor_types,"brca,crc,esca,lusc,ov,stad"
KRAS,RBM10,MUTATION MUTATION,0.07,0.01,406,48,0.48,CO,TRUE,0.58,3,2,multiple_tumor_types,"crc,luad"
AMP.7.55245364.55247588,DEL.9.21186568.28981526,CNA_AMP CNA_DEL,0.05,0.12,292,728,0.46,CO,FALSE,0.58,10,2,multiple_tumor_types,"blca,gbm"
CDH1,FOXA1,MUTATION MUTATION,0.02,0.01,143,44,0.26,CO,FALSE,0.58,1,1,tumor_type_specific,brca
FBXW7,AMP.7.92240982.92241005,MUTATION CNA_AMP,0.03,0.02,199,139,0.00,ME,FALSE,0.58,5,5,multiple_tumor_types,"brca,esca,hnsc,lusc,stad"
MTM1,PPM1D,MUTATION MUTATION,0.00,0.00,15,27,0.67,CO,FALSE,0.58,1,0,not_detectable,
AMP.1.150585939.161066590,AMP.3.12484849.12485147,CNA_AMP CNA_AMP,0.08,0.01,458,77,0.46,CO,TRUE,0.58,5,1,tumor_type_specific,blca
AMP.15.99593198.99599607,AMP.X.52706693.54237966,CNA_AMP CNA_AMP,0.02,0.01,120,61,0.00,ME,FALSE,0.57,2,2,multiple_tumor_types,"brca,ov"
DEL.8.2792739.4852925,DEL.10.89621061.89730647,CNA_DEL CNA_DEL,0.05,0.04,302,237,0.08,ME,TRUE,0.57,9,4,multiple_tumor_types,"brca,esca,ov,skcm"
AMP.1.6454459.6456472,AMP.3.52516731.52516731,CNA_AMP CNA_AMP,0.01,0.00,46,18,0.36,CO,TRUE,0.57,1,1,tumor_type_specific,ov
CDH1,TBX3,MUTATION MUTATION,0.02,0.01,143,37,0.29,CO,FALSE,0.56,2,1,tumor_type_specific,brca
MARK2,PSIP1,MUTATION MUTATION,0.00,0.01,25,35,0.25,CO,TRUE,0.56,2,2,multiple_tumor_types,"blca,stad"
AMP.1.16424099.16424099,AMP.3.52516731.52516731,CNA_AMP CNA_AMP,0.01,0.00,45,18,0.29,CO,FALSE,0.56,1,1,tumor_type_specific,ov
DEL.9.21186568.28981526,DEL.16.78129906.89379319,CNA_DEL CNA_DEL,0.12,0.03,728,162,0.13,ME,TRUE,0.56,4,3,multiple_tumor_types,"brca,esca,ov"
APC,CIC,MUTATION MUTATION,0.07,0.01,449,82,0.08,ME,TRUE,0.56,3,2,multiple_tumor_types,"crc,esca"
POLE,ZC3H13,MUTATION MUTATION,0.01,0.01,47,78,0.50,CO,FALSE,0.56,3,0,not_detectable,
ATM,POLE,MUTATION MUTATION,0.02,0.01,139,47,0.46,CO,TRUE,0.56,3,2,multiple_tumor_types,"crc,stad"
AMP.6.107218335.107220210,AMP.7.136848523.158222444,CNA_AMP CNA_AMP,0.01,0.03,84,165,0.02,ME,TRUE,0.56,4,4,multiple_tumor_types,"blca,brca,ov,stad"
FUBP1,IDH1,MUTATION MUTATION,0.01,0.05,36,281,0.81,CO,FALSE,0.56,1,0,not_detectable,
AMP.2.48118896.48268075,AMP.20.30246540.30250340,CNA_AMP CNA_AMP,0.01,0.04,56,212,0.33,CO,TRUE,0.56,5,3,multiple_tumor_types,"brca,ov,ucec"
AMP.6.54167681.54891542,AMP.13.113949229.113949229,CNA_AMP CNA_AMP,0.02,0.02,90,103,0.00,ME,TRUE,0.55,4,4,multiple_tumor_types,"brca,hnsc,ov,stad"
AMP.10.123245647.123245826,AMP.17.48975595.48975595,CNA_AMP CNA_AMP,0.01,0.02,58,134,0.00,ME,FALSE,0.55,3,3,multiple_tumor_types,"brca,ov,stad"
AMP.2.178114632.178114912,AMP.11.121194602.121310564,CNA_AMP CNA_AMP,0.01,0.01,79,50,0.00,ME,FALSE,0.55,1,1,tumor_type_specific,ov
RBM10,STK11,MUTATION MUTATION,0.01,0.01,48,46,0.22,CO,FALSE,0.55,1,1,tumor_type_specific,luad
FOXA1,AMP.11.77628291.77628291,MUTATION CNA_AMP,0.01,0.04,44,214,0.00,ME,FALSE,0.55,2,2,multiple_tumor_types,"blca,brca"
DEL.9.840971.10617850,DEL.10.89621061.89730647,CNA_DEL CNA_DEL,0.02,0.04,98,237,0.03,ME,TRUE,0.55,6,5,multiple_tumor_types,"brca,esca,gbm,lusc,ov"
AMP.3.12484849.12485147,AMP.6.107218335.107220210,CNA_AMP CNA_AMP,0.01,0.01,77,84,0.30,CO,TRUE,0.55,4,3,multiple_tumor_types,"blca,brca,stad"
DEL.4.44167768.44480658,DEL.5.162841838.162878236,CNA_DEL CNA_DEL,0.00,0.00,15,22,0.38,CO,FALSE,0.54,0,0,not_detectable,
C3orf70,CREBBP,MUTATION MUTATION,0.00,0.02,18,88,0.33,CO,TRUE,0.54,1,1,tumor_type_specific,blca
AMP.1.235087357.247065472,AMP.7.55245364.55247588,CNA_AMP CNA_AMP,0.05,0.05,281,292,0.09,ME,TRUE,0.54,6,3,multiple_tumor_types,"brca,esca,luad"
AMP.17.37863922.37863922,DEL.11.134140152.134140152,CNA_AMP CNA_DEL,0.05,0.01,278,60,0.00,ME,FALSE,0.54,4,4,multiple_tumor_types,"brca,cesc,esca,luad"
GATA3,AMP.17.57936914.65585499,MUTATION CNA_AMP,0.02,0.04,134,232,0.36,CO,FALSE,0.53,2,1,tumor_type_specific,brca
AMP.2.27995105.28860856,AMP.20.30246540.30250340,CNA_AMP CNA_AMP,0.01,0.04,52,212,0.36,CO,FALSE,0.53,2,2,multiple_tumor_types,"ov,ucec"
ARID1A,AMP.16.5822456.8914905,MUTATION CNA_AMP,0.06,0.01,361,81,0.00,ME,FALSE,0.53,2,2,multiple_tumor_types,"blca,brca"
AMP.11.69476266.70165505,DEL.16.78129906.89379319,CNA_AMP CNA_DEL,0.08,0.03,465,162,0.06,ME,FALSE,0.53,6,5,multiple_tumor_types,"brca,cesc,esca,ov,ucec"
NF1,AMP.7.55245364.55247588,MUTATION CNA_AMP,0.03,0.05,189,292,0.06,ME,TRUE,0.53,7,7,multiple_tumor_types,"blca,brca,gbm,lgg,luad,lusc,stad"
CDH1,PIK3CA,MUTATION MUTATION,0.02,0.14,143,857,0.47,CO,FALSE,0.53,3,1,tumor_type_specific,brca
ARID1A,AMP.1.235087357.247065472,MUTATION CNA_AMP,0.06,0.05,361,281,0.02,ME,FALSE,0.53,9,7,multiple_tumor_types,"brca,esca,lihc,lusc,skcm,stad,ucec"
AMP.3.12484849.12485147,AMP.7.17059174.25055342,CNA_AMP CNA_AMP,0.01,0.02,77,126,0.29,CO,TRUE,0.53,5,3,multiple_tumor_types,"blca,esca,ov"
FAT1,RASA1,MUTATION MUTATION,0.02,0.01,146,59,0.29,CO,FALSE,0.53,5,2,multiple_tumor_types,"hnsc,ucec"
B2M,SYCP1,MUTATION MUTATION,0.01,0.01,51,54,0.32,CO,FALSE,0.53,3,1,tumor_type_specific,crc
AMP.7.55245364.55247588,AMP.11.102308753.102308753,CNA_AMP CNA_AMP,0.05,0.02,292,126,0.04,ME,TRUE,0.52,6,5,multiple_tumor_types,"blca,brca,esca,luad,stad"
BRAF,HRAS,MUTATION MUTATION,0.09,0.01,519,46,0.04,ME,TRUE,0.52,2,2,multiple_tumor_types,"skcm,thca"
AMP.1.16424099.16424099,AMP.17.48975595.48975595,CNA_AMP CNA_AMP,0.01,0.02,45,134,0.30,CO,FALSE,0.52,3,1,tumor_type_specific,esca
AMP.11.45332579.46470372,DEL.8.26150061.47460945,CNA_AMP CNA_DEL,0.01,0.04,66,233,0.00,ME,FALSE,0.52,6,6,multiple_tumor_types,"brca,esca,hnsc,lusc,ov,stad"
AMP.11.66999677.66999677,AMP.12.25358573.25362498,CNA_AMP CNA_AMP,0.03,0.03,193,175,0.06,ME,TRUE,0.52,7,5,multiple_tumor_types,"blca,esca,ov,stad,ucec"
AMP.5.176838719.176838719,AMP.6.54167681.54891542,CNA_AMP CNA_AMP,0.02,0.02,96,90,0.00,ME,FALSE,0.52,2,2,multiple_tumor_types,"brca,ov"
CASP8,FAT1,MUTATION MUTATION,0.01,0.02,65,146,0.30,CO,FALSE,0.51,5,1,tumor_type_specific,hnsc
KRAS,RB1,MUTATION MUTATION,0.07,0.03,406,173,0.07,ME,FALSE,0.51,9,6,multiple_tumor_types,"blca,brca,cesc,luad,ov,ucec"
GATA3,AMP.8.41876504.41876504,MUTATION CNA_AMP,0.02,0.04,134,243,0.03,ME,FALSE,0.51,2,1,tumor_type_specific,brca
DEL.10.64926226.65226688,DEL.11.46363425.46618305,CNA_DEL CNA_DEL,0.01,0.00,31,14,0.44,CO,FALSE,0.51,0,0,not_detectable,
AMP.2.27995105.28860856,AMP.3.50187790.50281168,CNA_AMP CNA_AMP,0.01,0.00,52,16,0.42,CO,FALSE,0.51,0,0,not_detectable,
DEL.16.3773953.3932725,DEL.17.80703445.80902411,CNA_DEL CNA_DEL,0.00,0.01,24,32,0.39,CO,TRUE,0.51,2,2,multiple_tumor_types,"ov,stad"
RB1,AMP.12.58145117.58145457,MUTATION CNA_AMP,0.03,0.02,173,125,0.00,ME,FALSE,0.51,5,5,multiple_tumor_types,"brca,gbm,luad,skcm,stad"
ACVR2A,CTCF,MUTATION MUTATION,0.01,0.01,63,76,0.00,ME,FALSE,0.50,1,1,tumor_type_specific,stad
IDH2,RUNX1,MUTATION MUTATION,0.01,0.01,44,53,0.33,CO,FALSE,0.50,1,1,tumor_type_specific,aml
NF1,AMP.7.65981244.66019731,MUTATION CNA_AMP,0.03,0.01,189,86,0.00,ME,FALSE,0.50,7,6,multiple_tumor_types,"brca,gbm,luad,lusc,ov,stad"
PTEN,AMP.17.37863922.37863922,MUTATION CNA_AMP,0.06,0.05,362,278,0.03,ME,TRUE,0.50,8,6,multiple_tumor_types,"brca,cesc,crc,lusc,stad,ucs"
AMP.1.23483603.23582880,AMP.21.38470347.40182177,CNA_AMP CNA_AMP,0.00,0.01,25,43,0.33,CO,TRUE,0.50,1,1,tumor_type_specific,ov
AMP.1.61831890.68012706,AMP.22.29714198.30244963,CNA_AMP CNA_AMP,0.01,0.01,64,70,0.00,ME,FALSE,0.50,3,3,multiple_tumor_types,"blca,brca,ov"
AMP.8.81202107.81202107,AMP.11.77628291.77628291,CNA_AMP CNA_AMP,0.04,0.04,243,214,0.08,ME,TRUE,0.49,8,4,multiple_tumor_types,"blca,brca,esca,skcm"
NCOR1,ZC3H13,MUTATION MUTATION,0.01,0.01,73,78,0.41,CO,FALSE,0.49,3,1,tumor_type_specific,ucec
FBXW7,AMP.1.40400131.40400131,MUTATION CNA_AMP,0.03,0.02,199,118,0.00,ME,FALSE,0.49,6,6,multiple_tumor_types,"blca,brca,esca,lusc,stad,ucec"
BRCA2,POLE,MUTATION MUTATION,0.02,0.01,106,47,0.39,CO,FALSE,0.49,2,1,tumor_type_specific,stad
DEL.7.40165997.40906602,DEL.4.20726673.22342532,CNA_DEL CNA_DEL,0.00,0.00,8,18,0.40,CO,FALSE,0.49,0,0,not_detectable,
AMP.16.24709884.24713284,DEL.8.26150061.47460945,CNA_AMP CNA_DEL,0.01,0.04,60,233,0.00,ME,FALSE,0.49,2,2,multiple_tumor_types,"blca,brca"
AMP.14.20524352.20524352,AMP.22.29714198.30244963,CNA_AMP CNA_AMP,0.01,0.01,57,70,0.00,ME,FALSE,0.49,4,4,multiple_tumor_types,"blca,brca,hnsc,ov"
AMP.4.74048890.74048890,AMP.8.55224770.55228081,CNA_AMP CNA_AMP,0.01,0.03,75,190,0.02,ME,TRUE,0.49,5,4,multiple_tumor_types,"blca,esca,ov,stad"
ARID1A,TP53,MUTATION MUTATION,0.06,0.37,361,2245,0.39,ME,TRUE,0.48,13,7,multiple_tumor_types,"blca,brca,cesc,crc,esca,kirc,ucec"
CREBBP,HNF1A,MUTATION MUTATION,0.02,0.00,88,26,0.39,CO,TRUE,0.48,2,1,tumor_type_specific,stad
BRAF,AMP.4.55042340.55045488,MUTATION CNA_AMP,0.09,0.02,519,114,0.06,ME,FALSE,0.48,2,1,tumor_type_specific,skcm
CDH1,AMP.17.57936914.65585499,MUTATION CNA_AMP,0.02,0.04,143,232,0.04,ME,TRUE,0.48,3,3,multiple_tumor_types,"brca,crc,stad"
PTEN,AMP.8.128758521.145091379,MUTATION CNA_AMP,0.06,0.11,362,642,0.07,ME,FALSE,0.48,12,7,multiple_tumor_types,"brca,cesc,lihc,prad,skcm,stad,ucec"
AMP.11.102308753.102308753,AMP.21.15658830.17586892,CNA_AMP CNA_AMP,0.02,0.01,126,52,0.00,ME,FALSE,0.48,4,4,multiple_tumor_types,"blca,brca,hnsc,ov"
AMP.7.919139.919139,AMP.13.113949229.113949229,CNA_AMP CNA_AMP,0.02,0.02,102,103,0.00,ME,TRUE,0.48,4,4,multiple_tumor_types,"blca,brca,ov,stad"
KRAS,STK11,MUTATION MUTATION,0.07,0.01,406,46,0.39,CO,FALSE,0.48,1,1,tumor_type_specific,luad
AMP.2.121847706.121885772,AMP.6.54167681.54891542,CNA_AMP CNA_AMP,0.01,0.02,43,90,0.00,ME,FALSE,0.48,3,3,multiple_tumor_types,"esca,hnsc,ov"
AMP.12.25358573.25362498,AMP.17.48975595.48975595,CNA_AMP CNA_AMP,0.03,0.02,175,134,0.05,ME,FALSE,0.48,7,5,multiple_tumor_types,"brca,esca,stad,ucec,ucs"
CDH1,RUNX1,MUTATION MUTATION,0.02,0.01,143,53,0.26,CO,FALSE,0.47,1,1,tumor_type_specific,brca
AMP.2.62404435.62410515,AMP.14.105232631.105232631,CNA_AMP CNA_AMP,0.01,0.01,58,69,0.00,ME,FALSE,0.47,2,2,multiple_tumor_types,"brca,ov"
CDK12,AMP.21.38470347.40182177,MUTATION CNA_AMP,0.01,0.01,47,43,0.32,CO,TRUE,0.47,2,1,tumor_type_specific,ov
AMP.10.32421128.35328088,AMP.13.113949229.113949229,CNA_AMP CNA_AMP,0.01,0.02,74,103,0.00,ME,TRUE,0.47,4,4,multiple_tumor_types,"brca,lihc,ov,stad"
BRCA1,AMP.8.128758521.145091379,MUTATION CNA_AMP,0.01,0.11,80,642,0.47,CO,TRUE,0.47,2,1,tumor_type_specific,ov
AMP.15.99593198.99599607,AMP.19.15367544.15367978,CNA_AMP CNA_AMP,0.02,0.02,120,131,0.04,ME,TRUE,0.47,5,4,multiple_tumor_types,"esca,lihc,ov,stad"
